park,team,source_year,spray_zone5,fence_distance_ft,fence_height_ft,distance_source_column,height_source_column,value_method,height_status,usable_for_hr_detector,source_name,source_url,notes
American Family Field,MIL,2025,left_line,344.0,8.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=MIL06,
American Family Field,MIL,2025,left_gap,382.0,8.0,LCF_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=MIL06,
American Family Field,MIL,2025,center,400.0,8.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=MIL06,
American Family Field,MIL,2025,right_gap,383.0,8.0,RCF_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=MIL06,
American Family Field,MIL,2025,right_line,345.0,6.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=MIL06,
Angel Stadium,LAA,2025,left_line,330.0,5.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=ANA01,
Angel Stadium,LAA,2025,left_gap,390.0,8.0,LCF_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=ANA01,
Angel Stadium,LAA,2025,center,396.0,8.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=ANA01,
Angel Stadium,LAA,2025,right_gap,375.0,8.0,RCF_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=ANA01,
Angel Stadium,LAA,2025,right_line,330.0,5.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=ANA01,
Busch Stadium,STL,2025,left_line,336.0,8.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=STL10,
Busch Stadium,STL,2025,left_gap,396.0,8.0,LCF_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=STL10,
Busch Stadium,STL,2025,center,400.0,8.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=STL10,
Busch Stadium,STL,2025,right_gap,396.0,8.0,RCF_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=STL10,
Busch Stadium,STL,2025,right_line,335.0,8.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=STL10,
Chase Field,ARI,2025,left_line,328.0,8.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=PHO01,LCF/RCF distance unavailable in source; gap uses LFA/RFA.
Chase Field,ARI,2025,left_gap,376.0,8.0,LFA_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=PHO01,LCF/RCF distance unavailable in source; gap uses LFA/RFA.
Chase Field,ARI,2025,center,407.0,25.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=PHO01,LCF/RCF distance unavailable in source; gap uses LFA/RFA.
Chase Field,ARI,2025,right_gap,376.0,8.0,RFA_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=PHO01,LCF/RCF distance unavailable in source; gap uses LFA/RFA.
Chase Field,ARI,2025,right_line,335.0,8.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=PHO01,LCF/RCF distance unavailable in source; gap uses LFA/RFA.
Citizens Bank Park,PHI,2025,left_line,329.0,11.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=PHI13,
Citizens Bank Park,PHI,2025,left_gap,385.0,11.0,LCF_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=PHI13,
Citizens Bank Park,PHI,2025,center,401.0,6.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=PHI13,
Citizens Bank Park,PHI,2025,right_gap,381.0,13.0,RCF_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=PHI13,
Citizens Bank Park,PHI,2025,right_line,330.0,13.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=PHI13,
Citi Field,NYM,2025,left_line,331.0,8.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=NYC20,
